,id,name,id,team_id,league,division,year,wins,runs_scored,home_runs,batting_avg,ops,avg_age
0,1,Arizona Diamondbacks,1,1,NL,West,2018,82,693,176,0.235,0.707,29.2
1,1,Arizona Diamondbacks,2,1,NL,West,2017,93,812,220,0.254,0.774,28.3
2,1,Arizona Diamondbacks,3,1,NL,West,2016,69,752,190,0.261,0.752,26.7
3,1,Arizona Diamondbacks,4,1,NL,West,2015,79,720,154,0.264,0.738,26.6
4,1,Arizona Diamondbacks,5,1,NL,West,2014,64,615,118,0.248,0.678,27.6
5,1,Arizona Diamondbacks,6,1,NL,West,2013,81,685,130,0.259,0.715,28.1
6,1,Arizona Diamondbacks,7,1,NL,West,2012,81,734,165,0.259,0.746,28.3
7,1,Arizona Diamondbacks,8,1,NL,West,2011,94,731,172,0.25,0.736,28.2
8,1,Arizona Diamondbacks,9,1,NL,West,2010,65,713,180,0.25,0.74,26.8
9,1,Arizona Diamondbacks,10,1,NL,West,2009,70,720,173,0.253,0.742,26.5
10,1,Arizona Diamondbacks,11,1,NL,West,2008,82,720,159,0.251,0.742,26.7
11,1,Arizona Diamondbacks,12,1,NL,West,2007,90,712,171,0.25,0.734,26.6
12,1,Arizona Diamondbacks,13,1,NL,West,2006,76,773,160,0.267,0.755,29.7
13,1,Arizona Diamondbacks,14,1,NL,West,2005,77,696,191,0.256,0.754,30.3
14,1,Arizona Diamondbacks,15,1,NL,West,2004,51,615,135,0.253,0.703,28.9
15,1,Arizona Diamondbacks,16,1,NL,West,2003,84,717,152,0.263,0.746,30.6
16,1,Arizona Diamondbacks,17,1,NL,West,2002,98,819,165,0.267,0.769,31.7
17,1,Arizona Diamondbacks,18,1,NL,West,2001,92,818,208,0.267,0.783,31.9
18,1,Arizona Diamondbacks,19,1,NL,West,2000,85,792,179,0.265,0.763,30.8
19,1,Arizona Diamondbacks,20,1,NL,West,1999,100,908,216,0.277,0.805,30.0
20,1,Arizona Diamondbacks,21,1,NL,West,1998,65,665,159,0.246,0.707,27.8
21,2,Atlanta Braves,22,2,NL,East,2018,90,759,175,0.257,0.742,27.4
22,2,Atlanta Braves,23,2,NL,East,2017,72,732,165,0.263,0.738,28.6
23,2,Atlanta Braves,24,2,NL,East,2016,68,649,122,0.255,0.705,28.9
24,2,Atlanta Braves,25,2,NL,East,2015,67,573,100,0.251,0.674,28.8
25,2,Atlanta Braves,26,2,NL,East,2014,79,573,123,0.241,0.665,26.8
26,2,Atlanta Braves,27,2,NL,East,2013,96,688,181,0.249,0.723,26.8
27,2,Atlanta Braves,28,2,NL,East,2012,94,700,149,0.247,0.709,28.5
